message,label
труба втулка внутренний диаметр наружный диаметр длина лестница футбол картина девушка,труба
труба втулка внутренний диаметр длина наружный диаметр стул носок печка кафе,труба
труба втулка наружный диаметр внутренний диаметр длина телевизор палец мышь кафе,труба
труба втулка наружный диаметр длина внутренний диаметр чашка человек,труба
труба втулка длина внутренний диаметр наружный диаметр видео рука девушка фрукты банан,труба
труба втулка длина наружный диаметр внутренний диаметр книга чашка дорога,труба
труба внутренний диаметр втулка наружный диаметр длина крыша деревня,труба
труба внутренний диаметр втулка длина наружный диаметр заяц дверь,труба
труба внутренний диаметр наружный диаметр втулка длина окно,труба
труба внутренний диаметр наружный диаметр длина втулка фильм платье фонарь радуга,труба
труба внутренний диаметр длина втулка наружный диаметр парта,труба
труба внутренний диаметр длина наружный диаметр втулка слон бабушка телевизор,труба
труба наружный диаметр втулка внутренний диаметр длина фотоаппарат,труба
труба наружный диаметр втулка длина внутренний диаметр фонарь деньги,труба
труба наружный диаметр внутренний диаметр втулка длина конь конфета собака собака,труба
труба наружный диаметр внутренний диаметр длина втулка птица,труба
труба наружный диаметр длина втулка внутренний диаметр кот фрукты кровать попугай,труба
труба наружный диаметр длина внутренний диаметр втулка крыша,труба
труба длина втулка внутренний диаметр наружный диаметр море парта фрукты,труба
труба длина втулка наружный диаметр внутренний диаметр муха конфета кафе книга стол,труба
труба длина внутренний диаметр втулка наружный диаметр бабушка стол лестница стул,труба
труба длина внутренний диаметр наружный диаметр втулка космос дорога сумка море,труба
труба длина наружный диаметр втулка внутренний диаметр земля космос космонавт палец цветок,труба
труба длина наружный диаметр внутренний диаметр втулка книжка фрукты трава,труба
втулка труба внутренний диаметр наружный диаметр длина стена банан магазин,труба
втулка труба внутренний диаметр длина наружный диаметр солнце бутылка звезда музыка,труба
втулка труба наружный диаметр внутренний диаметр длина ручка,труба
втулка труба наружный диаметр длина внутренний диаметр школа,труба
втулка труба длина внутренний диаметр наружный диаметр снег,труба
втулка труба длина наружный диаметр внутренний диаметр фотоаппарат дорога муха лес,труба
втулка внутренний диаметр труба наружный диаметр длина пианино пирог фрукты мышь банан,труба
втулка внутренний диаметр труба длина наружный диаметр бабушка,труба
втулка внутренний диаметр наружный диаметр труба длина сумка,труба
втулка внутренний диаметр наружный диаметр длина труба бутылка,труба
втулка внутренний диаметр длина труба наружный диаметр бабушка,труба
втулка внутренний диаметр длина наружный диаметр труба конь рыба человек река,труба
втулка наружный диаметр труба внутренний диаметр длина диск,труба
втулка наружный диаметр труба длина внутренний диаметр дом дерево,труба
втулка наружный диаметр внутренний диаметр труба длина платье кофе собака,труба
втулка наружный диаметр внутренний диаметр длина труба красота попугай муха,труба
втулка наружный диаметр длина труба внутренний диаметр парта,труба
втулка наружный диаметр длина внутренний диаметр труба лампа,труба
втулка длина труба внутренний диаметр наружный диаметр фильм бумага,труба
втулка длина труба наружный диаметр внутренний диаметр луна карта цветок гитара,труба
втулка длина внутренний диаметр труба наружный диаметр машина,труба
втулка длина внутренний диаметр наружный диаметр труба окно бабушка лампа чашка гора,труба
втулка длина наружный диаметр труба внутренний диаметр лампа книжка,труба
втулка длина наружный диаметр внутренний диаметр труба носок,труба
внутренний диаметр труба втулка наружный диаметр длина видео,труба
внутренний диаметр труба втулка длина наружный диаметр машина поезд,труба
внутренний диаметр труба наружный диаметр втулка длина лестница дверь,труба
внутренний диаметр труба наружный диаметр длина втулка заяц гитара чашка платье лес,труба
внутренний диаметр труба длина втулка наружный диаметр мышь,труба
внутренний диаметр труба длина наружный диаметр втулка бумага море медведь солнце,труба
внутренний диаметр втулка труба наружный диаметр длина книжка человек,труба
внутренний диаметр втулка труба длина наружный диаметр магазин бутылка фонарик,труба
внутренний диаметр втулка наружный диаметр труба длина бумага фотоаппарат,труба
внутренний диаметр втулка наружный диаметр длина труба телевизор радуга лес стол парта,труба
внутренний диаметр втулка длина труба наружный диаметр кафе телефон дерево видео радуга,труба
