,message,label
0,высота балки ширина полки радиус скругления толщина полотна толщина фланца длина балки тип балки,Универсальный профиль двутавровой балки BlueScope
1,высота балки ширина полки радиус скругления толщина полотна толщина фланца тип балки длина балки,Универсальный профиль двутавровой балки BlueScope
2,высота балки ширина полки радиус скругления толщина полотна длина балки толщина фланца тип балки,Универсальный профиль двутавровой балки BlueScope
3,высота балки ширина полки радиус скругления толщина полотна длина балки тип балки толщина фланца,Универсальный профиль двутавровой балки BlueScope
4,высота балки ширина полки радиус скругления толщина полотна тип балки толщина фланца длина балки,Универсальный профиль двутавровой балки BlueScope
5,высота балки ширина полки радиус скругления толщина полотна тип балки длина балки толщина фланца,Универсальный профиль двутавровой балки BlueScope
6,высота балки ширина полки радиус скругления толщина фланца толщина полотна длина балки тип балки,Универсальный профиль двутавровой балки BlueScope
7,высота балки ширина полки радиус скругления толщина фланца толщина полотна тип балки длина балки,Универсальный профиль двутавровой балки BlueScope
8,высота балки ширина полки радиус скругления толщина фланца длина балки толщина полотна тип балки,Универсальный профиль двутавровой балки BlueScope
9,высота балки ширина полки радиус скругления толщина фланца длина балки тип балки толщина полотна,Универсальный профиль двутавровой балки BlueScope
10,высота балки ширина полки радиус скругления толщина фланца тип балки толщина полотна длина балки,Универсальный профиль двутавровой балки BlueScope
11,высота балки ширина полки радиус скругления толщина фланца тип балки длина балки толщина полотна,Универсальный профиль двутавровой балки BlueScope
12,высота балки ширина полки радиус скругления длина балки толщина полотна толщина фланца тип балки,Универсальный профиль двутавровой балки BlueScope
13,высота балки ширина полки радиус скругления длина балки толщина полотна тип балки толщина фланца,Универсальный профиль двутавровой балки BlueScope
14,высота балки ширина полки радиус скругления длина балки толщина фланца толщина полотна тип балки,Универсальный профиль двутавровой балки BlueScope
15,высота балки ширина полки радиус скругления длина балки толщина фланца тип балки толщина полотна,Универсальный профиль двутавровой балки BlueScope
16,высота балки ширина полки радиус скругления длина балки тип балки толщина полотна толщина фланца,Универсальный профиль двутавровой балки BlueScope
17,высота балки ширина полки радиус скругления длина балки тип балки толщина фланца толщина полотна,Универсальный профиль двутавровой балки BlueScope
